day,surah,orthographic_word_tokens,lexical_word_tokens,distinct_vocabulary_items,carried_vocabulary_items,new_vocabulary_items,known_before_vocabulary_items,known_after_vocabulary_items,known_lexical_word_tokens,new_lexical_word_tokens,known_lexical_word_token_coverage_pct,distinct_roots,carried_roots,new_roots,known_before_roots,known_after_roots,distinct_raw_stem_forms,carried_raw_stem_forms,new_raw_stem_forms,known_before_raw_stem_forms,known_after_raw_stem_forms,new_vocabulary_with_new_root_count,new_vocabulary_with_known_root_count,new_vocabulary_without_root_count
1,114,20,20,15,0,15,0,15,0,20,0.0,11,0,11,0,11,16,0,16,0,16,12,0,3
2,113,23,23,16,6,10,15,25,12,11,52.1739,11,4,7,11,18,16,6,10,16,26,8,0,2
3,112,15,13,8,1,7,25,32,1,12,7.6923,7,2,5,18,23,12,1,11,26,37,5,1,1
4,111,23,23,20,3,17,32,49,4,19,17.3913,15,0,15,23,38,22,2,20,37,57,15,0,2
5,110,19,19,18,6,12,49,61,7,12,36.8421,15,4,11,38,49,18,3,15,57,72,11,0,1
6,109,26,21,8,3,5,61,66,7,14,33.3333,4,2,2,49,51,18,4,14,72,86,3,0,2
7,108,10,9,8,2,6,66,72,3,6,33.3333,7,1,6,51,57,9,3,6,86,92,6,0,0
8,107,25,23,20,5,15,72,87,8,15,34.7826,12,3,9,57,66,22,1,21,92,113,9,3,3
9,106,17,17,15,4,11,87,98,5,12,29.4118,11,3,8,66,74,17,1,16,113,129,8,1,2
10,105,23,23,21,6,15,98,113,7,16,30.4348,17,2,15,74,89,22,3,19,129,148,15,0,0
11,104,33,33,27,9,18,113,131,14,19,42.4242,19,3,16,89,105,32,8,24,148,172,16,0,2
12,103,14,14,13,4,9,131,140,4,10,28.5714,9,1,8,105,113,13,3,10,172,182,8,0,1
13,102,28,28,19,3,16,140,156,6,22,21.4286,11,2,9,113,122,19,1,18,182,200,10,1,5
14,101,36,34,23,6,17,156,173,12,22,35.2941,19,4,15,122,137,28,5,23,200,223,15,0,2
15,100,40,37,31,12,19,173,192,18,19,48.6486,23,6,17,137,154,34,11,23,223,246,17,2,0
16,99,36,34,27,13,14,192,206,17,17,50.0,18,11,7,154,161,28,7,21,246,267,8,6,0
17,98,94,91,58,24,34,206,240,44,47,48.3516,42,18,24,161,185,74,22,52,267,319,26,5,3
18,97,30,29,22,9,13,240,253,12,17,41.3793,16,8,8,185,193,27,11,16,319,335,9,4,0
19,96,72,72,49,20,29,253,282,37,35,51.3889,32,12,20,193,213,58,17,41,335,376,21,4,4
20,95,34,33,33,15,18,282,300,15,18,45.4545,22,11,11,213,224,34,13,21,376,397,13,3,2
21,94,27,25,21,8,13,300,313,9,16,36.0,14,2,12,224,236,22,7,15,397,412,12,0,1
22,93,40,39,30,14,16,313,329,21,18,53.8462,23,13,10,236,246,34,13,21,412,433,10,6,0
23,92,71,70,56,30,26,329,355,42,28,60.0,41,27,14,246,260,59,22,37,433,470,14,12,0
24,91,54,53,44,19,25,355,380,27,26,50.9434,36,19,17,260,277,46,13,33,470,503,17,6,2
25,90,82,79,62,38,24,380,404,53,26,67.0886,45,29,16,277,293,69,33,36,503,539,16,6,2
26,89,137,136,93,42,51,404,455,79,57,58.0882,64,36,28,293,321,108,37,71,539,610,31,14,6
27,88,92,90,68,37,31,455,486,59,31,65.5556,50,38,12,321,333,76,26,50,610,660,12,17,2
28,87,72,72,60,40,20,486,506,52,20,72.2222,41,29,12,333,345,63,29,34,660,694,12,6,2
29,86,61,59,43,18,25,506,531,31,28,52.5424,33,20,13,345,358,53,18,35,694,729,14,10,1
30,85,109,100,76,40,36,531,567,61,39,61.0,53,35,18,358,376,89,40,49,729,778,18,18,0
31,84,107,104,75,46,29,567,596,71,33,68.2692,52,35,17,376,393,83,42,41,778,819,20,8,1
32,83,169,165,95,50,45,596,641,112,53,67.8788,68,43,25,393,418,121,48,73,819,892,27,18,0
33,82,80,79,53,38,15,641,656,63,16,79.7468,37,29,8,418,426,61,32,29,892,921,8,6,1
34,81,104,101,76,42,34,656,690,67,34,66.3366,58,37,21,426,447,83,28,55,921,976,21,11,2
35,80,133,127,102,58,44,690,734,83,44,65.3543,70,48,22,447,469,116,46,70,976,1046,23,20,1
36,79,179,169,126,73,53,734,787,114,55,67.4556,93,63,30,469,499,152,66,86,1046,1132,35,13,5
37,78,173,170,121,69,52,787,839,114,56,67.0588,100,70,30,499,529,144,59,85,1132,1217,30,22,0
38,77,181,177,107,58,49,839,888,124,53,70.0565,79,56,23,529,552,125,49,76,1217,1293,25,24,0
39,76,243,237,154,82,72,888,960,158,79,66.6667,112,85,27,552,579,191,79,112,1293,1405,32,35,5
40,75,164,159,103,66,37,960,997,117,42,73.5849,73,58,15,579,594,126,61,65,1405,1470,17,19,1
41,74,255,249,154,97,57,997,1054,187,62,75.1004,109,91,18,594,612,186,91,95,1470,1565,20,34,3
42,73,199,194,128,84,44,1054,1098,146,48,75.2577,91,73,18,612,630,160,74,86,1565,1651,21,22,1
43,72,285,277,138,77,61,1098,1159,198,79,71.4801,100,76,24,630,654,195,76,119,1651,1770,26,33,2
44,71,226,215,127,81,46,1159,1205,161,54,74.8837,87,75,12,654,666,169,70,99,1770,1869,13,30,3
45,70,217,208,141,94,47,1205,1252,160,48,76.9231,105,85,20,666,686,174,97,77,1869,1946,21,25,1
46,69,258,252,156,107,49,1252,1301,197,55,78.1746,113,92,21,686,707,199,103,96,1946,2042,22,25,2
47,68,300,278,170,109,61,1301,1362,210,68,75.5396,123,93,30,707,737,213,102,111,2042,2153,32,28,1
48,67,333,309,170,115,55,1362,1417,250,59,80.9061,127,102,25,737,762,234,123,111,2153,2264,25,29,1
49,66,249,240,143,102,41,1417,1458,194,46,80.8333,96,83,13,762,775,187,90,97,2264,2361,15,22,4
50,65,287,278,147,101,46,1458,1504,221,57,79.4964,97,85,12,775,787,200,96,104,2361,2465,13,31,2
51,64,241,231,137,122,15,1504,1519,216,15,93.5065,96,90,6,787,793,171,108,63,2465,2528,6,9,0
52,63,180,170,102,77,25,1519,1544,142,28,83.5294,73,62,11,793,804,132,78,54,2528,2582,11,13,1
53,62,175,171,103,87,16,1544,1560,152,19,88.8889,76,72,4,804,808,129,81,48,2582,2630,4,11,1
54,61,221,215,123,97,26,1560,1586,184,31,85.5814,81,70,11,808,819,159,100,59,2630,2689,12,11,3
55,60,348,330,157,118,39,1586,1625,285,45,86.3636,107,94,13,819,832,223,128,95,2689,2784,13,25,1
56,59,445,425,212,162,50,1625,1675,372,53,87.5294,157,142,15,832,847,283,171,112,2784,2896,15,34,1
57,58,472,452,197,150,47,1675,1722,380,72,84.0708,143,130,13,847,860,264,176,88,2896,2984,14,32,1
58,57,574,546,248,193,55,1722,1777,486,60,89.011,175,163,12,860,872,357,222,135,2984,3119,14,40,1
59,56,379,361,205,135,70,1777,1847,285,76,78.9474,141,116,25,872,897,258,143,115,3119,3234,29,40,1
60,55,351,347,141,92,49,1847,1896,258,89,74.3516,105,82,23,897,920,173,77,96,3234,3330,25,22,2
61,54,342,338,187,133,54,1896,1950,270,68,79.8817,140,124,16,920,936,235,119,116,3330,3446,16,37,1
62,53,360,337,187,142,45,1950,1995,286,51,84.8665,120,110,10,936,946,246,146,100,3446,3546,12,29,4
63,52,312,292,181,148,33,1995,2028,259,33,88.6986,133,124,9,946,955,232,154,78,3546,3624,9,24,0
64,51,360,346,193,153,40,2028,2068,302,44,87.2832,141,127,14,955,969,253,159,94,3624,3718,15,25,0
65,50,373,356,206,155,51,2068,2119,296,60,83.1461,147,132,15,969,984,264,159,105,3718,3823,16,33,2
66,49,347,340,159,129,30,2119,2149,304,36,89.4118,112,102,10,984,994,215,119,96,3823,3919,10,20,0
67,48,560,544,252,199,53,2149,2202,476,68,87.5,176,159,17,994,1011,339,204,135,3919,4054,17,34,2
68,47,539,517,238,182,56,2202,2258,454,63,87.8143,164,136,28,1011,1039,320,187,133,4054,4187,29,27,0
69,46,643,613,274,223,51,2258,2309,556,57,90.7015,177,164,13,1039,1052,402,252,150,4187,4337,14,37,0
70,45,488,468,200,174,26,2309,2335,440,28,94.0171,132,124,8,1052,1060,294,220,74,4337,4411,8,18,0
71,44,346,331,182,152,30,2335,2365,300,31,90.6344,122,116,6,1060,1066,246,174,72,4411,4483,7,23,0
72,43,830,777,333,272,61,2365,2426,713,64,91.7632,225,210,15,1066,1081,490,324,166,4483,4649,16,45,0
73,42,860,806,303,271,32,2426,2458,768,38,95.2854,206,195,11,1081,1092,444,297,147,4649,4796,11,21,0
74,41,794,759,310,259,51,2458,2509,700,59,92.2266,203,192,11,1092,1103,474,326,148,4796,4944,12,39,0
75,40,1219,1165,397,329,68,2509,2577,1090,75,93.5622,257,244,13,1103,1116,610,410,200,4944,5144,13,49,6
76,39,1172,1117,392,339,53,2577,2630,1055,62,94.4494,246,233,13,1116,1129,594,434,160,5144,5304,13,40,0
77,38,733,696,337,267,70,2630,2700,613,83,88.0747,235,213,22,1129,1151,470,291,179,5304,5483,22,40,8
78,37,860,819,359,292,67,2700,2767,741,78,90.4762,240,213,27,1151,1178,483,321,162,5483,5645,30,32,5
79,36,725,672,297,255,42,2767,2809,629,43,93.6012,211,199,12,1178,1190,440,330,110,5645,5755,12,29,1
80,35,775,750,334,294,40,2809,2849,707,43,94.2667,230,222,8,1190,1198,463,331,132,5755,5887,8,32,0
81,34,883,838,329,282,47,2849,2896,786,52,93.7947,221,209,12,1198,1210,484,356,128,5887,6015,14,32,1
82,33,1287,1257,453,364,89,2896,2985,1161,96,92.3628,282,267,15,1210,1225,653,407,246,6015,6261,17,70,2
83,32,372,356,192,180,12,2985,2997,344,12,96.6292,131,127,4,1225,1229,264,219,45,6261,6306,4,8,0
84,31,546,524,247,220,27,2997,3024,495,29,94.4656,184,176,8,1229,1237,351,265,86,6306,6392,8,18,1
85,30,817,779,289,264,25,3024,3049,750,29,96.2773,195,192,3,1237,1240,434,346,88,6392,6480,3,21,1
86,29,976,935,335,309,26,3049,3075,905,30,96.7914,223,217,6,1240,1246,506,412,94,6480,6574,6,18,2
87,28,1430,1367,467,388,79,3075,3154,1276,91,93.3431,296,271,25,1246,1271,733,502,231,6574,6805,26,49,4
88,27,1151,1092,413,362,51,3154,3205,1037,55,94.9634,265,255,10,1271,1281,638,480,158,6805,6963,11,39,1
89,26,1318,1242,409,353,56,3205,3261,1183,59,95.2496,265,250,15,1281,1296,612,450,162,6963,7125,15,41,0
90,25,893,860,371,329,42,3261,3303,817,43,95.0,250,240,10,1296,1306,533,413,120,7125,7245,10,32,0
91,24,1316,1269,415,343,72,3303,3375,1177,92,92.7502,287,274,13,1306,1319,632,418,214,7245,7459,14,58,0
92,23,1050,979,391,348,43,3375,3418,931,48,95.097,271,261,10,1319,1329,578,468,110,7459,7569,10,29,4
93,22,1274,1218,485,412,73,3418,3491,1136,82,93.2677,328,302,26,1329,1355,670,497,173,7569,7742,29,43,1
94,21,1169,1091,422,366,56,3491,3547,1035,56,94.8671,284,270,14,1355,1369,628,483,145,7742,7887,15,36,5
95,20,1335,1272,482,414,68,3547,3615,1197,75,94.1038,324,300,24,1369,1393,736,515,221,7887,8108,24,43,1
96,19,961,920,359,290,69,3615,3684,835,85,90.7609,239,224,15,1393,1408,557,395,162,8108,8270,16,53,0
97,18,1579,1521,551,456,95,3684,3779,1402,119,92.1762,369,349,20,1408,1428,857,574,283,8270,8553,21,74,0
98,17,1556,1493,532,466,66,3779,3845,1419,74,95.0435,342,326,16,1428,1444,821,622,199,8553,8752,18,48,0
99,16,1844,1755,551,490,61,3845,3906,1689,66,96.2393,358,339,19,1444,1463,843,666,177,8752,8929,19,42,0
100,15,655,630,288,263,25,3906,3931,601,29,95.3968,201,197,4,1463,1467,398,333,65,8929,8994,4,20,1
101,14,830,792,333,308,25,3931,3956,763,29,96.3384,225,221,4,1467,1471,497,415,82,8994,9076,4,21,0
102,13,853,811,347,323,24,3956,3980,783,28,96.5475,244,238,6,1471,1477,487,406,81,9076,9157,6,18,0
103,12,1777,1690,511,433,78,3980,4058,1564,126,92.5444,336,311,25,1477,1502,841,573,268,9157,9425,27,51,0
104,11,1917,1842,553,496,57,4058,4115,1780,62,96.6341,348,339,9,1502,1511,878,677,201,9425,9626,11,44,2
105,10,1833,1768,485,464,21,4115,4136,1747,21,98.8122,290,290,0,1511,1511,802,705,97,9626,9723,0,20,1
106,9,2498,2395,637,523,114,4136,4250,2259,136,94.3215,366,348,18,1511,1529,1031,732,299,9723,10022,19,91,4
107,8,1233,1188,399,354,45,4250,4295,1137,51,95.7071,266,258,8,1529,1537,598,458,140,10022,10162,8,37,0
108,7,3320,3162,818,746,72,4295,4367,3081,81,97.4383,477,458,19,1537,1556,1393,1110,283,10162,10445,19,51,2
109,6,3050,2921,724,658,66,4367,4433,2836,85,97.09,421,409,12,1556,1568,1222,991,231,10445,10676,14,51,1
110,5,2804,2715,684,587,97,4433,4530,2588,127,95.3223,422,402,20,1568,1588,1135,840,295,10676,10971,21,76,0
111,4,3747,3626,809,715,94,4530,4624,3503,123,96.6078,462,441,21,1588,1609,1386,1013,373,10971,11344,23,71,0
112,3,3481,3352,760,698,62,4624,4686,3285,67,98.0012,439,428,11,1609,1620,1360,1118,242,11344,11586,11,48,3
113,2,6116,5835,1136,991,145,4686,4831,5656,179,96.9323,585,563,22,1620,1642,2065,1542,523,11586,12109,23,112,10
114,1,29,29,23,22,1,4831,4832,28,1,96.5517,18,18,0,1642,1642,25,21,4,12109,12113,0,1,0
